,problem,structure,n_variables,repetition
122,sudoku,sudoku22_n29,29,0.0
123,sudoku,sudoku24_n29,29,0.0
124,sudoku,sudoku2_n29,29,0.0
125,sudoku,sudoku5_n29,29,0.0
126,FeatSelect,Bioresponse_n30_k7,30,0.0
127,FeatSelect,SPECTF_n30_k9,30,0.0
128,FeatSelect,gisette_n30_k6,30,0.0
129,FeatSelect,waveform-5000_n30_k8,30,0.0
130,NumPart,1 to n,30,0.0
131,NumPart,geometric,30,0.0
132,NumPart,poisson,30,0.0
133,NumPart,uniform,30,0.0
134,QKnap,almost_diagonal,30,0.0
135,QKnap,diagonal,30,0.0
136,QKnap,enlarged_diagonal,30,0.0
137,QKnap,random,30,0.0
138,commDet,2d_grid_topology,30,0.0
139,commDet,cycle_topology,30,0.0
140,commDet,random_topology,30,0.0
141,commDet,star_topology,30,0.0
142,maxClique,2d_grid_topology,30,0.0
143,maxClique,cycle_topology,30,0.0
144,maxClique,random_topology,30,0.0
145,maxClique,star_topology,30,0.0
146,maxCut,2d_grid_topology,30,0.0
147,maxCut,cycle_topology,30,0.0
148,maxCut,random_topology,30,0.0
149,maxCut,star_topology,30,0.0
150,mis,2d_grid_topology,30,0.0
151,mis,cycle_topology,30,0.0
152,mis,random_topology,30,0.0
153,mis,star_topology,30,0.0
154,mvc,2d_grid_topology,30,0.0
155,mvc,cycle_topology,30,0.0
156,mvc,random_topology,30,0.0
157,mvc,star_topology,30,0.0
158,setPack,almost_diagonal,30,0.0
159,setPack,disjoint_rows,30,0.0
160,setPack,random,30,0.0
161,setPack,steps,30,0.0
162,sudoku,sudoku23_n30,30,0.0
163,sudoku,sudoku29_n30,30,0.0
164,sudoku,sudoku3_n30,30,0.0
165,sudoku,sudoku9_n30,30,0.0
166,FeatSelect,USPS_n31_k7,31,0.0
167,FeatSelect,gisette_n31_k9,31,0.0
168,FeatSelect,isolet_n31_k8,31,0.0
169,FeatSelect,spambase_n31_k6,31,0.0
170,NumPart,1 to n,31,0.0
171,NumPart,geometric,31,0.0
172,NumPart,poisson,31,0.0
173,NumPart,uniform,31,0.0
174,QKnap,almost_diagonal,31,0.0
175,QKnap,diagonal,31,0.0
176,QKnap,enlarged_diagonal,31,0.0
177,QKnap,random,31,0.0
178,commDet,2d_grid_topology,31,0.0
179,commDet,cycle_topology,31,0.0
180,commDet,random_topology,31,0.0
181,commDet,star_topology,31,0.0
182,maxClique,2d_grid_topology,31,0.0
183,maxClique,cycle_topology,31,0.0
184,maxClique,random_topology,31,0.0
185,maxClique,star_topology,31,0.0
186,maxCut,2d_grid_topology,31,0.0
187,maxCut,cycle_topology,31,0.0
188,maxCut,random_topology,31,0.0
189,maxCut,star_topology,31,0.0
190,mis,2d_grid_topology,31,0.0
191,mis,cycle_topology,31,0.0
192,mis,random_topology,31,0.0
193,mis,star_topology,31,0.0
194,mvc,2d_grid_topology,31,0.0
195,mvc,cycle_topology,31,0.0
196,mvc,random_topology,31,0.0
197,mvc,star_topology,31,0.0
198,setPack,almost_diagonal,31,0.0
199,setPack,disjoint_rows,31,0.0
200,setPack,random,31,0.0
201,setPack,steps,31,0.0
202,sudoku,sudoku10_n31,31,0.0
203,sudoku,sudoku14_n31,31,0.0
204,sudoku,sudoku18_n31,31,0.0
205,sudoku,sudoku19_n31,31,0.0
206,sudoku,sudoku26_n31,31,0.0
207,sudoku,sudoku27_n31,31,0.0
208,sudoku,sudoku8_n31,31,0.0
209,FeatSelect,Bioresponse_n32_k6,32,0.0
210,FeatSelect,SPECTF_n32_k8,32,0.0
211,FeatSelect,spambase_n32_k9,32,0.0
212,FeatSelect,waveform-5000_n32_k7,32,0.0
213,NumPart,1 to n,32,0.0
214,NumPart,geometric,32,0.0
215,NumPart,poisson,32,0.0
216,NumPart,uniform,32,0.0
217,QKnap,almost_diagonal,32,0.0
218,QKnap,diagonal,32,0.0
219,QKnap,enlarged_diagonal,32,0.0
220,QKnap,random,32,0.0
221,commDet,2d_grid_topology,32,0.0
222,commDet,cycle_topology,32,0.0
223,commDet,random_topology,32,0.0
224,commDet,star_topology,32,0.0
225,maxClique,2d_grid_topology,32,0.0
226,maxClique,cycle_topology,32,0.0
227,maxClique,random_topology,32,0.0
228,maxClique,star_topology,32,0.0
229,maxCut,2d_grid_topology,32,0.0
230,maxCut,cycle_topology,32,0.0
231,maxCut,random_topology,32,0.0
232,maxCut,star_topology,32,0.0
233,mis,2d_grid_topology,32,0.0
234,mis,cycle_topology,32,0.0
235,mis,random_topology,32,0.0
236,mis,star_topology,32,0.0
237,mvc,2d_grid_topology,32,0.0
238,mvc,cycle_topology,32,0.0
239,mvc,random_topology,32,0.0
240,mvc,star_topology,32,0.0
241,setPack,almost_diagonal,32,0.0
242,setPack,disjoint_rows,32,0.0
243,setPack,random,32,0.0
244,setPack,steps,32,0.0
245,sudoku,sudoku15_n32,32,0.0
246,FeatSelect,isolet_n69_k13,69,45.0
247,FeatSelect,gisette_n69_k14,69,46.0
248,FeatSelect,Bioresponse_n69_k15,69,47.0
249,FeatSelect,USPS_n69_k16,69,48.0
250,FeatSelect,isolet_n69_k17,69,49.0
251,NumPart,1 to n,69,0.0
252,NumPart,uniform,69,0.0
253,NumPart,geometric,69,0.0
254,NumPart,poisson,69,0.0
255,NumPart,1 to n,69,1.0
256,NumPart,uniform,69,1.0
257,NumPart,geometric,69,1.0
258,NumPart,poisson,69,1.0
259,NumPart,1 to n,69,2.0
260,NumPart,uniform,69,2.0
261,NumPart,geometric,69,2.0
262,NumPart,poisson,69,2.0
263,NumPart,1 to n,69,3.0
264,NumPart,uniform,69,3.0
265,NumPart,geometric,69,3.0
266,NumPart,poisson,69,3.0
267,NumPart,1 to n,69,4.0
268,NumPart,uniform,69,4.0
269,NumPart,geometric,69,4.0
270,NumPart,poisson,69,4.0
271,QKnap,diagonal,69,0.0
272,QKnap,almost_diagonal,69,0.0
273,QKnap,enlarged_diagonal,69,0.0
274,QKnap,random,69,0.0
275,QKnap,diagonal,69,1.0
276,QKnap,almost_diagonal,69,1.0
277,QKnap,enlarged_diagonal,69,1.0
278,QKnap,random,69,1.0
279,QKnap,diagonal,69,2.0
280,QKnap,almost_diagonal,69,2.0
281,QKnap,enlarged_diagonal,69,2.0
282,QKnap,random,69,2.0
283,QKnap,diagonal,69,3.0
284,QKnap,almost_diagonal,69,3.0
285,QKnap,enlarged_diagonal,69,3.0
286,QKnap,random,69,3.0
287,QKnap,diagonal,69,4.0
288,QKnap,almost_diagonal,69,4.0
289,QKnap,enlarged_diagonal,69,4.0
290,QKnap,random,69,4.0
291,commDet,star_topology,69,0.0
292,commDet,2d_grid_topology,69,0.0
293,commDet,cycle_topology,69,0.0
294,commDet,random_topology,69,0.0
295,commDet,star_topology,69,1.0
296,commDet,2d_grid_topology,69,1.0
297,commDet,cycle_topology,69,1.0
298,commDet,random_topology,69,1.0
299,commDet,star_topology,69,2.0
300,commDet,2d_grid_topology,69,2.0
301,commDet,cycle_topology,69,2.0
302,commDet,random_topology,69,2.0
303,commDet,star_topology,69,3.0
304,commDet,2d_grid_topology,69,3.0
305,commDet,cycle_topology,69,3.0
306,commDet,random_topology,69,3.0
307,commDet,star_topology,69,4.0
308,commDet,2d_grid_topology,69,4.0
309,commDet,cycle_topology,69,4.0
310,commDet,random_topology,69,4.0
311,maxClique,star_topology,69,0.0
312,maxClique,2d_grid_topology,69,0.0
313,maxClique,cycle_topology,69,0.0
314,maxClique,random_topology,69,0.0
315,maxClique,star_topology,69,1.0
316,maxClique,2d_grid_topology,69,1.0
317,maxClique,cycle_topology,69,1.0
318,maxClique,random_topology,69,1.0
319,maxClique,star_topology,69,2.0
320,maxClique,2d_grid_topology,69,2.0
321,maxClique,cycle_topology,69,2.0
322,maxClique,random_topology,69,2.0
323,maxClique,star_topology,69,3.0
324,maxClique,2d_grid_topology,69,3.0
325,maxClique,cycle_topology,69,3.0
326,maxClique,random_topology,69,3.0
327,maxClique,star_topology,69,4.0
328,maxClique,2d_grid_topology,69,4.0
329,maxClique,cycle_topology,69,4.0
330,maxClique,random_topology,69,4.0
331,maxCut,star_topology,69,0.0
332,maxCut,2d_grid_topology,69,0.0
333,maxCut,cycle_topology,69,0.0
334,maxCut,random_topology,69,0.0
335,maxCut,star_topology,69,1.0
336,maxCut,2d_grid_topology,69,1.0
337,maxCut,cycle_topology,69,1.0
338,maxCut,random_topology,69,1.0
339,maxCut,star_topology,69,2.0
340,maxCut,2d_grid_topology,69,2.0
341,maxCut,cycle_topology,69,2.0
342,maxCut,random_topology,69,2.0
343,maxCut,star_topology,69,3.0
344,maxCut,2d_grid_topology,69,3.0
345,maxCut,cycle_topology,69,3.0
346,maxCut,random_topology,69,3.0
347,maxCut,star_topology,69,4.0
348,maxCut,2d_grid_topology,69,4.0
349,maxCut,cycle_topology,69,4.0
350,maxCut,random_topology,69,4.0
351,mis,star_topology,69,0.0
352,mis,2d_grid_topology,69,0.0
353,mis,cycle_topology,69,0.0
354,mis,random_topology,69,0.0
355,mis,star_topology,69,1.0
356,mis,2d_grid_topology,69,1.0
357,mis,cycle_topology,69,1.0
358,mis,random_topology,69,1.0
359,mis,star_topology,69,2.0
360,mis,2d_grid_topology,69,2.0
361,mis,cycle_topology,69,2.0
362,mis,random_topology,69,2.0
363,mis,star_topology,69,3.0
364,mis,2d_grid_topology,69,3.0
365,mis,cycle_topology,69,3.0
366,mis,random_topology,69,3.0
367,mis,star_topology,69,4.0
368,mis,2d_grid_topology,69,4.0
369,mis,cycle_topology,69,4.0
370,mis,random_topology,69,4.0
371,mvc,star_topology,69,0.0
372,mvc,2d_grid_topology,69,0.0
373,mvc,cycle_topology,69,0.0
374,mvc,random_topology,69,0.0
375,mvc,star_topology,69,1.0
376,mvc,2d_grid_topology,69,1.0
377,mvc,cycle_topology,69,1.0
378,mvc,random_topology,69,1.0
379,mvc,star_topology,69,2.0
380,mvc,2d_grid_topology,69,2.0
381,mvc,cycle_topology,69,2.0
382,mvc,random_topology,69,2.0
383,mvc,star_topology,69,3.0
384,mvc,2d_grid_topology,69,3.0
385,mvc,cycle_topology,69,3.0
386,mvc,random_topology,69,3.0
387,mvc,star_topology,69,4.0
388,mvc,2d_grid_topology,69,4.0
389,mvc,cycle_topology,69,4.0
390,mvc,random_topology,69,4.0
391,setPack,steps,69,0.0
392,setPack,disjoint_rows,69,0.0
393,setPack,almost_diagonal,69,0.0
394,setPack,random,69,0.0
395,setPack,steps,69,1.0
396,setPack,disjoint_rows,69,1.0
397,setPack,almost_diagonal,69,1.0
398,setPack,random,69,1.0
399,setPack,steps,69,2.0
400,setPack,disjoint_rows,69,2.0
401,setPack,almost_diagonal,69,2.0
402,setPack,random,69,2.0
403,setPack,steps,69,3.0
404,setPack,disjoint_rows,69,3.0
405,setPack,almost_diagonal,69,3.0
406,setPack,random,69,3.0
407,setPack,steps,69,4.0
408,setPack,disjoint_rows,69,4.0
409,setPack,almost_diagonal,69,4.0
410,setPack,random,69,4.0
411,FeatSelect,gisette_n70_k14,70,50.0
412,FeatSelect,Bioresponse_n70_k15,70,51.0
413,FeatSelect,USPS_n70_k16,70,52.0
414,FeatSelect,isolet_n70_k17,70,53.0
415,FeatSelect,gisette_n70_k18,70,54.0
416,NumPart,1 to n,70,0.0
417,NumPart,uniform,70,0.0
418,NumPart,geometric,70,0.0
419,NumPart,poisson,70,0.0
420,NumPart,1 to n,70,1.0
421,NumPart,uniform,70,1.0
422,NumPart,geometric,70,1.0
423,NumPart,poisson,70,1.0
424,NumPart,1 to n,70,2.0
425,NumPart,uniform,70,2.0
426,NumPart,geometric,70,2.0
427,NumPart,poisson,70,2.0
428,NumPart,1 to n,70,3.0
429,NumPart,uniform,70,3.0
430,NumPart,geometric,70,3.0
431,NumPart,poisson,70,3.0
432,NumPart,1 to n,70,4.0
433,NumPart,uniform,70,4.0
434,NumPart,geometric,70,4.0
435,NumPart,poisson,70,4.0
436,QKnap,diagonal,70,0.0
437,QKnap,almost_diagonal,70,0.0
438,QKnap,enlarged_diagonal,70,0.0
439,QKnap,random,70,0.0
440,QKnap,diagonal,70,1.0
441,QKnap,almost_diagonal,70,1.0
442,QKnap,enlarged_diagonal,70,1.0
443,QKnap,random,70,1.0
444,QKnap,diagonal,70,2.0
445,QKnap,almost_diagonal,70,2.0
446,QKnap,enlarged_diagonal,70,2.0
447,QKnap,random,70,2.0
448,QKnap,diagonal,70,3.0
449,QKnap,almost_diagonal,70,3.0
450,QKnap,enlarged_diagonal,70,3.0
451,QKnap,random,70,3.0
452,QKnap,diagonal,70,4.0
453,QKnap,almost_diagonal,70,4.0
454,QKnap,enlarged_diagonal,70,4.0
455,QKnap,random,70,4.0
456,commDet,star_topology,70,0.0
457,commDet,2d_grid_topology,70,0.0
458,commDet,cycle_topology,70,0.0
459,commDet,random_topology,70,0.0
460,commDet,star_topology,70,1.0
461,commDet,2d_grid_topology,70,1.0
462,commDet,cycle_topology,70,1.0
463,commDet,random_topology,70,1.0
464,commDet,star_topology,70,2.0
465,commDet,2d_grid_topology,70,2.0
466,commDet,cycle_topology,70,2.0
467,commDet,random_topology,70,2.0
468,commDet,star_topology,70,3.0
469,commDet,2d_grid_topology,70,3.0
470,commDet,cycle_topology,70,3.0
471,commDet,random_topology,70,3.0
472,commDet,star_topology,70,4.0
473,commDet,2d_grid_topology,70,4.0
474,commDet,cycle_topology,70,4.0
475,commDet,random_topology,70,4.0
476,maxClique,star_topology,70,0.0
477,maxClique,2d_grid_topology,70,0.0
478,maxClique,cycle_topology,70,0.0
479,maxClique,random_topology,70,0.0
480,maxClique,star_topology,70,1.0
481,maxClique,2d_grid_topology,70,1.0
482,maxClique,cycle_topology,70,1.0
483,maxClique,random_topology,70,1.0
484,maxClique,star_topology,70,2.0
485,maxClique,2d_grid_topology,70,2.0
486,maxClique,cycle_topology,70,2.0
487,maxClique,random_topology,70,2.0
488,maxClique,star_topology,70,3.0
489,maxClique,2d_grid_topology,70,3.0
490,maxClique,cycle_topology,70,3.0
491,maxClique,random_topology,70,3.0
492,maxClique,star_topology,70,4.0
493,maxClique,2d_grid_topology,70,4.0
494,maxClique,cycle_topology,70,4.0
495,maxClique,random_topology,70,4.0
496,maxCut,star_topology,70,0.0
497,maxCut,2d_grid_topology,70,0.0
498,maxCut,cycle_topology,70,0.0
499,maxCut,random_topology,70,0.0
500,maxCut,star_topology,70,1.0
501,maxCut,2d_grid_topology,70,1.0
502,maxCut,cycle_topology,70,1.0
503,maxCut,random_topology,70,1.0
504,maxCut,star_topology,70,2.0
505,maxCut,2d_grid_topology,70,2.0
506,maxCut,cycle_topology,70,2.0
507,maxCut,random_topology,70,2.0
508,maxCut,star_topology,70,3.0
509,maxCut,2d_grid_topology,70,3.0
510,maxCut,cycle_topology,70,3.0
511,maxCut,random_topology,70,3.0
512,maxCut,star_topology,70,4.0
513,maxCut,2d_grid_topology,70,4.0
514,maxCut,cycle_topology,70,4.0
515,maxCut,random_topology,70,4.0
516,mis,star_topology,70,0.0
517,mis,2d_grid_topology,70,0.0
518,mis,cycle_topology,70,0.0
519,mis,random_topology,70,0.0
520,mis,star_topology,70,1.0
521,mis,2d_grid_topology,70,1.0
522,mis,cycle_topology,70,1.0
523,mis,random_topology,70,1.0
524,mis,star_topology,70,2.0
525,mis,2d_grid_topology,70,2.0
526,mis,cycle_topology,70,2.0
527,mis,random_topology,70,2.0
528,mis,star_topology,70,3.0
529,mis,2d_grid_topology,70,3.0
530,mis,cycle_topology,70,3.0
531,mis,random_topology,70,3.0
532,mis,star_topology,70,4.0
533,mis,2d_grid_topology,70,4.0
534,mis,cycle_topology,70,4.0
535,mis,random_topology,70,4.0
536,mvc,star_topology,70,0.0
537,mvc,2d_grid_topology,70,0.0
538,mvc,cycle_topology,70,0.0
539,mvc,random_topology,70,0.0
540,mvc,star_topology,70,1.0
541,mvc,2d_grid_topology,70,1.0
542,mvc,cycle_topology,70,1.0
543,mvc,random_topology,70,1.0
544,mvc,star_topology,70,2.0
545,mvc,2d_grid_topology,70,2.0
546,mvc,cycle_topology,70,2.0
547,mvc,random_topology,70,2.0
548,mvc,star_topology,70,3.0
549,mvc,2d_grid_topology,70,3.0
550,mvc,cycle_topology,70,3.0
551,mvc,random_topology,70,3.0
552,mvc,star_topology,70,4.0
553,mvc,2d_grid_topology,70,4.0
554,mvc,cycle_topology,70,4.0
555,mvc,random_topology,70,4.0
556,setPack,steps,70,0.0
557,setPack,disjoint_rows,70,0.0
558,setPack,almost_diagonal,70,0.0
559,setPack,random,70,0.0
560,setPack,steps,70,1.0
561,setPack,disjoint_rows,70,1.0
562,setPack,almost_diagonal,70,1.0
563,setPack,random,70,1.0
564,setPack,steps,70,2.0
565,setPack,disjoint_rows,70,2.0
566,setPack,almost_diagonal,70,2.0
567,setPack,random,70,2.0
568,setPack,steps,70,3.0
569,setPack,disjoint_rows,70,3.0
570,setPack,almost_diagonal,70,3.0
571,setPack,random,70,3.0
572,setPack,steps,70,4.0
573,setPack,disjoint_rows,70,4.0
574,setPack,almost_diagonal,70,4.0
575,setPack,random,70,4.0
576,FeatSelect,Bioresponse_n71_k14,71,55.0
577,FeatSelect,USPS_n71_k15,71,56.0
578,FeatSelect,isolet_n71_k16,71,57.0
579,FeatSelect,gisette_n71_k17,71,58.0
580,FeatSelect,Bioresponse_n71_k18,71,59.0
581,NumPart,1 to n,71,0.0
582,NumPart,uniform,71,0.0
583,NumPart,geometric,71,0.0
584,NumPart,poisson,71,0.0
585,NumPart,1 to n,71,1.0
586,NumPart,uniform,71,1.0
587,NumPart,geometric,71,1.0
588,NumPart,poisson,71,1.0
589,NumPart,1 to n,71,2.0
590,NumPart,uniform,71,2.0
591,NumPart,geometric,71,2.0
592,NumPart,poisson,71,2.0
593,NumPart,1 to n,71,3.0
594,NumPart,uniform,71,3.0
595,NumPart,geometric,71,3.0
596,NumPart,poisson,71,3.0
597,NumPart,1 to n,71,4.0
598,NumPart,uniform,71,4.0
599,NumPart,geometric,71,4.0
600,NumPart,poisson,71,4.0
601,QKnap,diagonal,71,0.0
602,QKnap,almost_diagonal,71,0.0
603,QKnap,enlarged_diagonal,71,0.0
604,QKnap,random,71,0.0
605,QKnap,diagonal,71,1.0
606,QKnap,almost_diagonal,71,1.0
607,QKnap,enlarged_diagonal,71,1.0
608,QKnap,random,71,1.0
609,QKnap,diagonal,71,2.0
610,QKnap,almost_diagonal,71,2.0
611,QKnap,enlarged_diagonal,71,2.0
612,QKnap,random,71,2.0
613,QKnap,diagonal,71,3.0
614,QKnap,almost_diagonal,71,3.0
615,QKnap,enlarged_diagonal,71,3.0
616,QKnap,random,71,3.0
617,QKnap,diagonal,71,4.0
618,QKnap,almost_diagonal,71,4.0
619,QKnap,enlarged_diagonal,71,4.0
620,QKnap,random,71,4.0
621,commDet,star_topology,71,0.0
622,commDet,2d_grid_topology,71,0.0
623,commDet,cycle_topology,71,0.0
624,commDet,random_topology,71,0.0
625,commDet,star_topology,71,1.0
626,commDet,2d_grid_topology,71,1.0
627,commDet,cycle_topology,71,1.0
628,commDet,random_topology,71,1.0
629,commDet,star_topology,71,2.0
630,commDet,2d_grid_topology,71,2.0
631,commDet,cycle_topology,71,2.0
632,commDet,random_topology,71,2.0
633,commDet,star_topology,71,3.0
634,commDet,2d_grid_topology,71,3.0
635,commDet,cycle_topology,71,3.0
636,commDet,random_topology,71,3.0
637,commDet,star_topology,71,4.0
638,commDet,2d_grid_topology,71,4.0
639,commDet,cycle_topology,71,4.0
640,commDet,random_topology,71,4.0
641,maxClique,star_topology,71,0.0
642,maxClique,2d_grid_topology,71,0.0
643,maxClique,cycle_topology,71,0.0
644,maxClique,random_topology,71,0.0
645,maxClique,star_topology,71,1.0
646,maxClique,2d_grid_topology,71,1.0
647,maxClique,cycle_topology,71,1.0
648,maxClique,random_topology,71,1.0
649,maxClique,star_topology,71,2.0
650,maxClique,2d_grid_topology,71,2.0
651,maxClique,cycle_topology,71,2.0
652,maxClique,random_topology,71,2.0
653,maxClique,star_topology,71,3.0
654,maxClique,2d_grid_topology,71,3.0
655,maxClique,cycle_topology,71,3.0
656,maxClique,random_topology,71,3.0
657,maxClique,star_topology,71,4.0
658,maxClique,2d_grid_topology,71,4.0
659,maxClique,cycle_topology,71,4.0
660,maxClique,random_topology,71,4.0
661,maxCut,star_topology,71,0.0
662,maxCut,2d_grid_topology,71,0.0
663,maxCut,cycle_topology,71,0.0
664,maxCut,random_topology,71,0.0
665,maxCut,star_topology,71,1.0
666,maxCut,2d_grid_topology,71,1.0
667,maxCut,cycle_topology,71,1.0
668,maxCut,random_topology,71,1.0
669,maxCut,star_topology,71,2.0
670,maxCut,2d_grid_topology,71,2.0
671,maxCut,cycle_topology,71,2.0
672,maxCut,random_topology,71,2.0
673,maxCut,star_topology,71,3.0
674,maxCut,2d_grid_topology,71,3.0
675,maxCut,cycle_topology,71,3.0
676,maxCut,random_topology,71,3.0
677,maxCut,star_topology,71,4.0
678,maxCut,2d_grid_topology,71,4.0
679,maxCut,cycle_topology,71,4.0
680,maxCut,random_topology,71,4.0
681,mis,star_topology,71,0.0
682,mis,2d_grid_topology,71,0.0
683,mis,cycle_topology,71,0.0
684,mis,random_topology,71,0.0
685,mis,star_topology,71,1.0
686,mis,2d_grid_topology,71,1.0
687,mis,cycle_topology,71,1.0
688,mis,random_topology,71,1.0
689,mis,star_topology,71,2.0
690,mis,2d_grid_topology,71,2.0
691,mis,cycle_topology,71,2.0
692,mis,random_topology,71,2.0
693,mis,star_topology,71,3.0
694,mis,2d_grid_topology,71,3.0
695,mis,cycle_topology,71,3.0
696,mis,random_topology,71,3.0
697,mis,star_topology,71,4.0
698,mis,2d_grid_topology,71,4.0
699,mis,cycle_topology,71,4.0
700,mis,random_topology,71,4.0
701,mvc,star_topology,71,0.0
702,mvc,2d_grid_topology,71,0.0
703,mvc,cycle_topology,71,0.0
704,mvc,random_topology,71,0.0
705,mvc,star_topology,71,1.0
706,mvc,2d_grid_topology,71,1.0
707,mvc,cycle_topology,71,1.0
708,mvc,random_topology,71,1.0
709,mvc,star_topology,71,2.0
710,mvc,2d_grid_topology,71,2.0
711,mvc,cycle_topology,71,2.0
712,mvc,random_topology,71,2.0
713,mvc,star_topology,71,3.0
714,mvc,2d_grid_topology,71,3.0
715,mvc,cycle_topology,71,3.0
716,mvc,random_topology,71,3.0
717,mvc,star_topology,71,4.0
718,mvc,2d_grid_topology,71,4.0
719,mvc,cycle_topology,71,4.0
720,mvc,random_topology,71,4.0
721,setPack,steps,71,0.0
722,setPack,disjoint_rows,71,0.0
723,setPack,almost_diagonal,71,0.0
724,setPack,random,71,0.0
725,setPack,steps,71,1.0
726,setPack,disjoint_rows,71,1.0
727,setPack,almost_diagonal,71,1.0
728,setPack,random,71,1.0
729,setPack,steps,71,2.0
730,setPack,disjoint_rows,71,2.0
731,setPack,almost_diagonal,71,2.0
732,setPack,random,71,2.0
733,setPack,steps,71,3.0
734,setPack,disjoint_rows,71,3.0
735,setPack,almost_diagonal,71,3.0
